sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
7.0,3.0,CIG,alcohol,169.0,0.0,0.0,
7.0,3.0,CIG,cigarette,169.0,0.0,0.0,
7.0,3.0,CIG,neutral,169.0,0.0,0.0,
8.0,3.0,CIG,alcohol,169.0,2.0,0.0,0.0
8.0,3.0,CIG,cigarette,169.0,2.0,1.0,0.5
8.0,3.0,CIG,neutral,169.0,2.0,1.0,0.5
9.0,3.0,CIG,alcohol,169.0,0.0,0.0,
9.0,3.0,CIG,cigarette,169.0,0.0,0.0,
9.0,3.0,CIG,neutral,169.0,0.0,0.0,
10.0,3.0,CIG,alcohol,169.0,2.0,0.0,0.0
10.0,3.0,CIG,cigarette,169.0,2.0,2.0,1.0
10.0,3.0,CIG,neutral,169.0,2.0,0.0,0.0
11.0,3.0,CIG,alcohol,169.0,2.0,0.0,0.0
11.0,3.0,CIG,cigarette,169.0,2.0,1.0,0.5
11.0,3.0,CIG,neutral,169.0,2.0,1.0,0.5
12.0,3.0,CIG,alcohol,169.0,0.0,0.0,
12.0,3.0,CIG,cigarette,169.0,0.0,0.0,
12.0,3.0,CIG,neutral,169.0,0.0,0.0,
13.0,3.0,CIG,alcohol,169.0,2.0,0.0,0.0
13.0,3.0,CIG,cigarette,169.0,2.0,1.0,0.5
13.0,3.0,CIG,neutral,169.0,2.0,1.0,0.5
14.0,3.0,CIG,alcohol,169.0,5.0,1.0,0.2
14.0,3.0,CIG,cigarette,169.0,5.0,2.0,0.4
14.0,3.0,CIG,neutral,169.0,5.0,2.0,0.4
15.0,3.0,CIG,alcohol,169.0,0.0,0.0,
15.0,3.0,CIG,cigarette,169.0,0.0,0.0,
15.0,3.0,CIG,neutral,169.0,0.0,0.0,
16.0,3.0,CIG,alcohol,169.0,0.0,0.0,
16.0,3.0,CIG,cigarette,169.0,0.0,0.0,
16.0,3.0,CIG,neutral,169.0,0.0,0.0,
17.0,3.0,CIG,alcohol,169.0,0.0,0.0,
17.0,3.0,CIG,cigarette,169.0,0.0,0.0,
17.0,3.0,CIG,neutral,169.0,0.0,0.0,
18.0,3.0,CIG,alcohol,169.0,4.0,2.0,0.5
18.0,3.0,CIG,cigarette,169.0,4.0,1.0,0.25
18.0,3.0,CIG,neutral,169.0,4.0,1.0,0.25
19.0,3.0,CIG,alcohol,169.0,0.0,0.0,
19.0,3.0,CIG,cigarette,169.0,0.0,0.0,
19.0,3.0,CIG,neutral,169.0,0.0,0.0,
20.0,3.0,CIG,alcohol,169.0,4.0,1.0,0.25
20.0,3.0,CIG,cigarette,169.0,4.0,2.0,0.5
20.0,3.0,CIG,neutral,169.0,4.0,1.0,0.25
21.0,3.0,CIG,alcohol,169.0,0.0,0.0,
21.0,3.0,CIG,cigarette,169.0,0.0,0.0,
21.0,3.0,CIG,neutral,169.0,0.0,0.0,
22.0,3.0,CIG,alcohol,169.0,1.0,1.0,1.0
22.0,3.0,CIG,cigarette,169.0,1.0,0.0,0.0
22.0,3.0,CIG,neutral,169.0,1.0,0.0,0.0
23.0,3.0,CIG,alcohol,169.0,5.0,1.0,0.2
23.0,3.0,CIG,cigarette,169.0,5.0,3.0,0.6
23.0,3.0,CIG,neutral,169.0,5.0,1.0,0.2
24.0,3.0,CIG,alcohol,169.0,0.0,0.0,
24.0,3.0,CIG,cigarette,169.0,0.0,0.0,
24.0,3.0,CIG,neutral,169.0,0.0,0.0,
25.0,3.0,CIG,alcohol,169.0,7.0,1.0,0.142857142857
25.0,3.0,CIG,cigarette,169.0,7.0,5.0,0.714285714286
25.0,3.0,CIG,neutral,169.0,7.0,1.0,0.142857142857
26.0,3.0,CIG,alcohol,169.0,0.0,0.0,
26.0,3.0,CIG,cigarette,169.0,0.0,0.0,
26.0,3.0,CIG,neutral,169.0,0.0,0.0,
27.0,3.0,CIG,alcohol,169.0,0.0,0.0,
27.0,3.0,CIG,cigarette,169.0,0.0,0.0,
27.0,3.0,CIG,neutral,169.0,0.0,0.0,
28.0,3.0,CIG,alcohol,169.0,0.0,0.0,
28.0,3.0,CIG,cigarette,169.0,0.0,0.0,
28.0,3.0,CIG,neutral,169.0,0.0,0.0,
29.0,3.0,CIG,alcohol,169.0,14.0,7.0,0.5
29.0,3.0,CIG,cigarette,169.0,14.0,6.0,0.428571428571
29.0,3.0,CIG,neutral,169.0,14.0,1.0,0.0714285714286
